"","Date","Day","Country","Type","Value","TotalValue"
"402","5/5/2014",44,"Guinea","Deaths",2,157
"403","5/5/2014",44,"Liberia","Cases",0,35
"404","5/5/2014",44,"Liberia","Deaths",0,13
"405","5/5/2014",44,"SierraLeone","Cases",0,12
"406","5/5/2014",44,"SierraLeone","Deaths",0,5
"407","5/5/2014",44,"Nigeria","Cases",0,0
"408","5/5/2014",44,"Nigeria","Deaths",0,0
"409","5/5/2014",44,"Senegal","Cases",0,0
"410","5/5/2014",44,"Senegal","Deaths",0,0
"411","5/5/2014",44,"UnitedStates","Cases",0,0
"412","5/5/2014",44,"UnitedStates","Deaths",0,0
"413","5/5/2014",44,"Spain","Cases",0,0
"414","5/5/2014",44,"Spain","Deaths",0,0
"415","5/5/2014",44,"Mali","Cases",0,0
"416","5/5/2014",44,"Mali","Deaths",0,0
"417","5/7/2014",46,"Guinea","Cases",1,236
"418","5/7/2014",46,"Guinea","Deaths",1,158
"419","5/7/2014",46,"Liberia","Cases",0,35
"420","5/7/2014",46,"Liberia","Deaths",0,13
"421","5/7/2014",46,"SierraLeone","Cases",0,12
"422","5/7/2014",46,"SierraLeone","Deaths",0,5
"423","5/7/2014",46,"Nigeria","Cases",0,0
"424","5/7/2014",46,"Nigeria","Deaths",0,0
"425","5/7/2014",46,"Senegal","Cases",0,0
"426","5/7/2014",46,"Senegal","Deaths",0,0
"427","5/7/2014",46,"UnitedStates","Cases",0,0
"428","5/7/2014",46,"UnitedStates","Deaths",0,0
"429","5/7/2014",46,"Spain","Cases",0,0
"430","5/7/2014",46,"Spain","Deaths",0,0
"431","5/7/2014",46,"Mali","Cases",0,0
"432","5/7/2014",46,"Mali","Deaths",0,0
"433","5/10/2014",49,"Guinea","Cases",0,236
"434","5/10/2014",49,"Guinea","Deaths",0,158
"435","5/10/2014",49,"Liberia","Cases",0,35
"436","5/10/2014",49,"Liberia","Deaths",0,13
"437","5/10/2014",49,"SierraLeone","Cases",0,12
"438","5/10/2014",49,"SierraLeone","Deaths",0,5
"439","5/10/2014",49,"Nigeria","Cases",0,0
"440","5/10/2014",49,"Nigeria","Deaths",0,0
"441","5/10/2014",49,"Senegal","Cases",0,0
"442","5/10/2014",49,"Senegal","Deaths",0,0
"443","5/10/2014",49,"UnitedStates","Cases",0,0
"444","5/10/2014",49,"UnitedStates","Deaths",0,0
"445","5/10/2014",49,"Spain","Cases",0,0
"446","5/10/2014",49,"Spain","Deaths",0,0
"447","5/10/2014",49,"Mali","Cases",0,0
"448","5/10/2014",49,"Mali","Deaths",0,0
"449","5/12/2014",51,"Guinea","Cases",12,248
"450","5/12/2014",51,"Guinea","Deaths",13,171
"451","5/12/2014",51,"Liberia","Cases",0,35
"452","5/12/2014",51,"Liberia","Deaths",0,13
"453","5/12/2014",51,"SierraLeone","Cases",0,12
"454","5/12/2014",51,"SierraLeone","Deaths",0,5
"455","5/12/2014",51,"Nigeria","Cases",0,0
"456","5/12/2014",51,"Nigeria","Deaths",0,0
"457","5/12/2014",51,"Senegal","Cases",0,0
"458","5/12/2014",51,"Senegal","Deaths",0,0
"459","5/12/2014",51,"UnitedStates","Cases",0,0
"460","5/12/2014",51,"UnitedStates","Deaths",0,0
"461","5/12/2014",51,"Spain","Cases",0,0
"462","5/12/2014",51,"Spain","Deaths",0,0
"463","5/12/2014",51,"Mali","Cases",0,0
"464","5/12/2014",51,"Mali","Deaths",0,0
"465","5/23/2014",62,"Guinea","Cases",10,258
"466","5/23/2014",62,"Guinea","Deaths",3,174
"467","5/23/2014",62,"Liberia","Cases",0,35
"468","5/23/2014",62,"Liberia","Deaths",0,13
"469","5/23/2014",62,"SierraLeone","Cases",0,12
"470","5/23/2014",62,"SierraLeone","Deaths",0,5
"471","5/23/2014",62,"Nigeria","Cases",0,0
"472","5/23/2014",62,"Nigeria","Deaths",0,0
"473","5/23/2014",62,"Senegal","Cases",0,0
"474","5/23/2014",62,"Senegal","Deaths",0,0
"475","5/23/2014",62,"UnitedStates","Cases",0,0
"476","5/23/2014",62,"UnitedStates","Deaths",0,0
"477","5/23/2014",62,"Spain","Cases",0,0
"478","5/23/2014",62,"Spain","Deaths",0,0
"479","5/23/2014",62,"Mali","Cases",0,0
"480","5/23/2014",62,"Mali","Deaths",0,0
"481","5/27/2014",66,"Guinea","Cases",23,281
"482","5/27/2014",66,"Guinea","Deaths",12,186
"483","5/27/2014",66,"Liberia","Cases",0,35
"484","5/27/2014",66,"Liberia","Deaths",0,13
"485","5/27/2014",66,"SierraLeone","Cases",4,16
"486","5/27/2014",66,"SierraLeone","Deaths",0,5
"487","5/27/2014",66,"Nigeria","Cases",0,0
"488","5/27/2014",66,"Nigeria","Deaths",0,0
"489","5/27/2014",66,"Senegal","Cases",0,0
"490","5/27/2014",66,"Senegal","Deaths",0,0
"491","5/27/2014",66,"UnitedStates","Cases",0,0
"492","5/27/2014",66,"UnitedStates","Deaths",0,0
"493","5/27/2014",66,"Spain","Cases",0,0
"494","5/27/2014",66,"Spain","Deaths",0,0
"495","5/27/2014",66,"Mali","Cases",0,0
"496","5/27/2014",66,"Mali","Deaths",0,0
"497","5/28/2014",67,"Guinea","Cases",10,291
"498","5/28/2014",67,"Guinea","Deaths",7,193
"499","5/28/2014",67,"Liberia","Cases",0,35
"500","5/28/2014",67,"Liberia","Deaths",0,13
"501","5/28/2014",67,"SierraLeone","Cases",34,50
"502","5/28/2014",67,"SierraLeone","Deaths",1,6
"503","5/28/2014",67,"Nigeria","Cases",0,0
"504","5/28/2014",67,"Nigeria","Deaths",0,0
"505","5/28/2014",67,"Senegal","Cases",0,0
"506","5/28/2014",67,"Senegal","Deaths",0,0
"507","5/28/2014",67,"UnitedStates","Cases",0,0
"508","5/28/2014",67,"UnitedStates","Deaths",0,0
"509","5/28/2014",67,"Spain","Cases",0,0
"510","5/28/2014",67,"Spain","Deaths",0,0
"511","5/28/2014",67,"Mali","Cases",0,0
"512","5/28/2014",67,"Mali","Deaths",0,0
"513","6/1/2014",71,"Guinea","Cases",37,328
"514","6/1/2014",71,"Guinea","Deaths",15,208
"515","6/1/2014",71,"Liberia","Cases",0,35
"516","6/1/2014",71,"Liberia","Deaths",0,13
"517","6/1/2014",71,"SierraLeone","Cases",29,79
